"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
Collection,1,0,Approach of the Second Sun,STA,Strixhaven Mystical Archive,1,NearMint,Normal,English,5.42,2026-08-26,5.38,1.50,5.42
Collection,1,0,"Arahbo, the First Fang",FDN,Foundations,2,NearMint,Normal,English,0.52,2026-08-24,0.65,0.10,0.54
Collection,1,0,Arcane Artisan,KHC,Kaldheim Commander,36,NearMint,Normal,English,0.24,2026-08-26,0.27,0.02,0.24
Collection,2,0,Archive Dragon,WOE,Wilds of Eldraine,41,NearMint,Normal,English,0.04,2026-08-26,0.06,0.02,0.04
Collection,1,0,Archmage Emeritus,TDC,Tarkir: Dragonstorm Commander,145,NearMint,Normal,English,1.53,2026-08-26,1.47,0.99,1.53
Collection,1,0,"Archmage's Newt",OTJ,Outlaws of Thunder Junction,39,NearMint,Normal,English,0.13,2026-08-26,0.15,0.02,0.13
Collection,1,0,Archon of Falling Stars,J25,Foundations Jumpstart,166,NearMint,Normal,English,0.07,2026-08-26,0.11,0.02,0.07
Collection,1,0,Archon of the Wild Rose,WOE,Wilds of Eldraine,1,NearMint,Normal,English,0.27,2026-08-26,0.26,0.02,0.27
Collection,1,0,"Arenson's Aura",5ED,Fifth Edition,6,NearMint,Normal,English,0.25,2026-08-26,0.19,0.02,0.25
Collection,1,0,"Arixmethes, Slumbering Isle",MUL,Multiverse Legends,32,NearMint,Normal,English,0.72,2026-08-26,0.70,0.10,0.72
Collection,1,0,"Artificer's Assistant",DOM,Dominaria,44,NearMint,Normal,English,0.22,2026-08-26,0.16,0.02,0.22
Collection,1,0,Arwen Undómiel,LTR,The Lord of the Rings: Tales of Middle-earth,194,NearMint,Normal,English,0.12,2026-08-26,0.12,0.02,0.12
Collection,1,0,"Ash, Party Crasher",WOE,Wilds of Eldraine,201,NearMint,Normal,English,0.14,2026-08-26,0.10,0.02,0.14
Collection,1,0,"Ashe, Princess of Dalmasca",FIN,Final Fantasy,7,NearMint,Normal,English,0.08,2026-08-24,0.09,0.02,0.09
Collection,1,0,"Ashnod, Flesh Mechanist",BRO,"The Brothers' War",84,NearMint,Normal,English,0.23,2026-08-24,0.24,0.02,0.21
Collection,1,0,Assemble the Entmoot,LTC,Tales of Middle-earth Commander,36,NearMint,Normal,English,0.40,2025-10-22,0.44,0.09,0.62
Collection,1,0,Atmosphere Surgeon,ONE,Phyrexia: All Will Be One,41,NearMint,Foil,English,0.14,2026-08-26,0.11,0.02,0.14
Collection,1,0,Atmosphere Surgeon,ONE,Phyrexia: All Will Be One,41,NearMint,Normal,Japanese,0.05,2026-08-26,0.06,0.02,0.05
Collection,1,0,"Atris, Oracle of Half-Truths",MUL,Multiverse Legends,34,NearMint,Normal,English,0.21,2026-08-26,0.17,0.02,0.21
Collection,1,0,"Auron's Inspiration",FIN,Final Fantasy,8,NearMint,Normal,English,0.04,2026-08-26,0.08,0.02,0.04
Collection,1,0,"Aziza, Mage Tower Captain",SOS,Secrets of Strixhaven,174,NearMint,Normal,English,0.14,2026-08-26,0.15,0.02,0.14
Collection,1,0,"Azlask, the Swelling Scourge",M3C,Modern Horizons 3 Commander,17,NearMint,Foil,English,1.29,2026-08-26,0.89,0.69,1.29
Collection,1,0,"Azog, Moria's Ruin",HOB,The Hobbit,61,NearMint,Foil,English,0.02,2026-08-24,0.90,0.02,0.02
Collection,2,0,"Azula, On the Hunt",TLA,Avatar: The Last Airbender,85,NearMint,Normal,English,0.10,2026-08-24,0.11,0.02,0.08
Collection,1,0,"Baird, Steward of Argive",CMM,Commander Masters,15,NearMint,Normal,English,0.38,2026-08-24,0.27,0.02,0.38
Collection,1,0,"Balin, Loremaster",HOB,The Hobbit,87,NearMint,Normal,English,0.02,2026-08-24,0.28,0.02,0.02
Collection,1,0,Banishing Light,J25,Foundations Jumpstart,96,NearMint,Normal,English,0.07,2026-08-26,0.08,0.02,0.07
Collection,1,0,Banishing Light,KHC,Kaldheim Commander,19,NearMint,Normal,English,0.13,2026-08-26,0.08,0.02,0.13
Collection,2,0,Bard the Bowman,HOB,The Hobbit,145,NearMint,Normal,English,0.07,2026-08-26,0.17,0.02,0.07
Collection,1,0,Baron Bertram Graywater,OTJ,Outlaws of Thunder Junction,195,NearMint,Normal,English,0.23,2026-08-26,0.24,0.02,0.23
Collection,1,0,Bartolomé del Presidio,LCI,The Lost Caverns of Ixalan,301,NearMint,Normal,English,0.17,2026-08-26,0.15,0.02,0.17
Collection,1,0,Bartolomé del Presidio,LCI,The Lost Caverns of Ixalan,301,NearMint,Foil,English,0.21,2026-08-26,0.27,0.02,0.21
Collection,1,0,Bat Colony,LCI,The Lost Caverns of Ixalan,5,NearMint,Normal,English,0.11,2026-08-26,0.16,0.02,0.11
Collection,2,0,"Beetle, Legacy Criminal",SPM,"Marvel's Spider-Man",26,NearMint,Normal,English,0.02,2026-08-24,0.03,0.02,0.02
Collection,1,0,Beluna Grandsquall // Seek Thrills,WOE,Wilds of Eldraine,285,NearMint,Normal,English,0.37,2026-08-26,0.41,0.09,0.37
Collection,1,0,Benevolent Offering,VOC,Crimson Vow Commander,78,NearMint,Normal,English,0.94,2026-08-26,0.88,0.09,0.94
Collection,1,0,Benevolent River Spirit,TLA,Avatar: The Last Airbender,45,NearMint,Normal,English,0.05,2026-08-26,0.08,0.02,0.05
Collection,4,0,"Beorn, Reluctant Host // Till and Tend",HOB,The Hobbit,118,NearMint,Normal,English,0.02,2026-08-26,0.13,0.02,0.02
Collection,1,0,"Bifur, Melodic Rider",HOB,The Hobbit,147,NearMint,Normal,English,0.10,2026-08-26,0.18,0.02,0.10
Collection,4,0,"Bilbo Baggins, Burglar // Take a Glance",HOB,The Hobbit,34,NearMint,Normal,English,0.04,2026-08-24,0.08,0.02,0.04
Collection,2,0,"Bilbo, Luckwearer // Burglar's Plot",HOB,The Hobbit,32,NearMint,Normal,English,0.02,2026-08-24,0.24,0.02,0.02
Collection,1,0,"Bilbo, Retired Burglar",LTR,The Lord of the Rings: Tales of Middle-earth,196,NearMint,Normal,English,0.12,2026-08-26,0.11,0.02,0.12
Collection,1,0,"Bilbo's Gambit",HOB,The Hobbit,5,NearMint,Normal,English,1.13,2026-08-26,3.70,0.99,1.14
Collection,1,0,Bill the Pony,LTR,The Lord of the Rings: Tales of Middle-earth,3,NearMint,Normal,English,0.11,2026-08-24,0.11,0.02,0.10
Collection,1,0,Biolume Egg,INR,Innistrad Remastered,54,NearMint,Normal,English,0.15,2026-08-26,0.18,0.02,0.15
Collection,1,0,Biolume Egg,INR,Innistrad Remastered,455,NearMint,Normal,English,0.12,2026-08-26,0.12,0.02,0.12
Collection,1,0,Black Waltz No. 3,FIN,Final Fantasy,214,NearMint,Normal,English,0.19,2026-08-26,0.18,0.02,0.19
Collection,1,0,Blackblade Reforged,DMC,Dominaria United Commander,178,NearMint,Normal,English,1.22,2026-08-26,1.11,0.15,1.22
Collection,1,0,Blade Splicer,MOC,March of the Machine Commander,175,NearMint,Normal,English,0.26,2026-08-26,0.25,0.10,0.26
Collection,1,0,Bladed Ambassador,ONE,Phyrexia: All Will Be One,417,NearMint,Step and Compleat Foil,English,0.11,2026-08-26,0.15,0.04,0.11
Collection,1,0,Bladed Ambassador,ONE,Phyrexia: All Will Be One,285,NearMint,Normal,English,0.04,2026-08-26,0.04,0.02,0.04
Collection,1,0,Blighted Blackthorn,ECL,Lorwyn Eclipsed,90,NearMint,Foil,English,0.15,2026-03-09,0.08,0.02,0.09
Collection,1,0,"Bofur, Reliable Guardian // Concerted Care",HOB,The Hobbit,6,NearMint,Foil,English,0.17,2026-08-24,0.29,0.02,0.18
Collection,1,0,"Bofur, Reliable Guardian // Concerted Care",HOB,The Hobbit,6,NearMint,Normal,English,0.12,2026-08-24,0.20,0.02,0.12
Collection,2,0,Bolg of the North,HOB,The Hobbit,148,NearMint,Normal,English,0.09,2026-08-26,0.18,0.02,0.09
Collection,1,0,"Bombur, Gentle Dreamer",HOB,The Hobbit,88,NearMint,Foil,English,0.17,2026-08-24,0.26,0.02,0.18
Collection,2,0,"Bombur, Gentle Dreamer",HOB,The Hobbit,88,NearMint,Normal,English,0.04,2026-08-24,0.15,0.02,0.03
Collection,1,0,Bovine Intervention,OTJ,Outlaws of Thunder Junction,6,NearMint,Normal,English,0.18,2026-08-26,0.22,0.02,0.18
Collection,1,0,"Brass's Tunnel-Grinder",LCI,The Lost Caverns of Ixalan,135,NearMint,Normal,English,2.78,2026-08-24,2.57,0.20,2.75
Collection,1,0,"Breeches, the Blastmaker",OTJ,Outlaws of Thunder Junction,197,NearMint,Normal,English,0.22,2026-08-26,0.21,0.02,0.22
Collection,1,0,Brightblade Stoat,BLB,Bloomburrow,4,NearMint,Normal,English,0.12,2026-08-26,0.11,0.02,0.12
Collection,1,0,"Bright-Palm, Soul Awakener",MOC,March of the Machine Commander,1,NearMint,Normal,English,0.26,2026-08-26,0.25,0.10,0.26
Collection,1,0,Brineborn Cutthroat,FDN,Foundations,152,NearMint,Normal,English,0.11,2026-08-26,0.10,0.02,0.11
Collection,1,0,"Bristly Bill, Spine Sower",OTJ,Outlaws of Thunder Junction,157,NearMint,Normal,English,27.46,2026-08-24,28.16,23.00,27.82
Collection,1,0,"Brudiclad, Telchor Engineer",MUL,Multiverse Legends,101,NearMint,Foil,English,1.32,2026-08-26,1.28,0.45,1.32
Collection,1,0,"Bruna, the Fading Light",INR,Innistrad Remastered,14,NearMint,Normal,English,1.78,2026-08-24,1.72,0.69,1.73
Collection,2,0,"Bumi, King of Three Trials",TLA,Avatar: The Last Airbender,169,NearMint,Normal,English,0.09,2026-08-26,0.08,0.02,0.09
Collection,5,0,"Butterbur, Bree Innkeeper",LTR,The Lord of the Rings: Tales of Middle-earth,197,NearMint,Normal,English,0.07,2026-08-26,0.06,0.02,0.07
Collection,1,0,"Calamity, Galloping Inferno",OTJ,Outlaws of Thunder Junction,116,NearMint,Normal,English,0.18,2026-08-24,0.25,0.02,0.18
Collection,1,0,"Calamity, Galloping Inferno",POTJ,Outlaws of Thunder Junction Promos,116p,NearMint,Normal,English,0.37,2026-08-24,0.23,0.05,0.37
Collection,1,0,Call a Surprise Witness,MKM,Murders at Karlov Manor,6,NearMint,Normal,English,0.10,2026-08-26,0.10,0.02,0.10
Collection,1,0,Call for Unity,LTC,Tales of Middle-earth Commander,163,NearMint,Normal,English,0.27,2026-08-26,0.22,0.04,0.27
Collection,1,0,Caparocti Sunborn,LCI,The Lost Caverns of Ixalan,302,NearMint,Normal,English,0.08,2026-08-26,0.06,0.02,0.08
Collection,1,0,Caparocti Sunborn,LCI,The Lost Caverns of Ixalan,226,NearMint,Normal,English,0.08,2026-08-26,0.08,0.02,0.08
Collection,1,0,"Captain Howler, Sea Scourge",PDFT,Aetherdrift Promos,194p,NearMint,Normal,English,0.26,2026-08-26,0.27,0.10,0.26
Collection,1,0,Captain Lannery Storm,MUL,Multiverse Legends,20,NearMint,Foil,English,0.56,2026-08-24,0.52,0.05,0.53
Collection,1,0,"Captain Storm, Cosmium Raider",LCI,The Lost Caverns of Ixalan,303,NearMint,Foil,English,0.17,2026-08-26,0.12,0.02,0.17
Collection,1,0,"Captain Storm, Cosmium Raider",LCI,The Lost Caverns of Ixalan,227,NearMint,Normal,English,0.23,2026-08-26,0.13,0.02,0.23
Collection,1,0,Captive Weird,MOM,March of the Machine,49,NearMint,Normal,English,0.04,2026-08-26,0.05,0.02,0.04
Collection,1,0,"Caradora, Heart of Alacria",DFT,Aetherdrift,195,NearMint,Foil,English,0.23,2026-08-26,0.15,0.07,0.23
Collection,1,0,Case of the Pilfered Proof,MKM,Murders at Karlov Manor,9,NearMint,Normal,English,0.09,2026-08-26,0.08,0.02,0.09
Collection,1,0,Cast Out,DRC,Aetherdrift Commander,64,NearMint,Normal,English,0.14,2026-08-26,0.14,0.02,0.14
Collection,1,0,Cataclysmic Gearhulk,NEC,Neon Dynasty Commander,81,NearMint,Normal,English,0.45,2026-08-26,0.31,0.05,0.45
Collection,1,0,Cataclysmic Gearhulk,MOC,March of the Machine Commander,176,NearMint,Normal,English,0.25,2026-08-26,0.27,0.05,0.25
Collection,1,0,"Cathar's Call",INR,Innistrad Remastered,16,NearMint,Normal,English,0.15,2026-08-26,0.14,0.02,0.15
Collection,3,0,Celeborn the Wise,LTR,The Lord of the Rings: Tales of Middle-earth,156,NearMint,Normal,English,0.11,2026-08-26,0.09,0.02,0.11
Collection,2,0,Celebrate the Mountain-king,HOB,The Hobbit,7,NearMint,Normal,English,0.09,2026-08-26,0.13,0.02,0.09
Collection,1,0,Champion of Wits,DRC,Aetherdrift Commander,72,NearMint,Normal,English,0.24,2026-08-26,0.13,0.02,0.12
Collection,1,0,Champions of the Shoal,ECL,Lorwyn Eclipsed,46,NearMint,Normal,English,0.24,2026-08-26,0.21,0.02,0.24
Collection,2,0,Chancellor of Tales,WOE,Wilds of Eldraine,45,NearMint,Normal,English,0.11,2026-08-26,0.10,0.02,0.11
Collection,2,0,"Chandra, Heart of Fire",M21,Core Set 2021,135,NearMint,Normal,English,0.23,2026-08-24,0.26,0.02,0.24
Collection,1,0,"Chiss-Goria, Forge Tyrant",ONC,Phyrexia: All Will Be One Commander,25,NearMint,Normal,Japanese,2.93,2026-08-24,2.89,1.50,2.84
Collection,1,0,Chrome Host Seedshark,EOC,Edge of Eternities Commander,68,NearMint,Normal,English,0.23,2026-08-26,0.24,0.02,0.23
Collection,1,0,Clachan Festival,ECL,Lorwyn Eclipsed,10,NearMint,Foil,English,0.08,2026-08-26,0.13,0.02,0.08
Collection,1,0,Claim Jumper,OTJ,Outlaws of Thunder Junction,8,NearMint,Normal,English,0.51,2026-08-26,0.66,0.10,0.51
Collection,1,0,Clay-Fired Bricks,LCI,The Lost Caverns of Ixalan,6,NearMint,Normal,English,0.15,2026-08-26,0.16,0.02,0.15
Collection,1,0,"Clement, the Worrywort",PBLB,Bloomburrow Promos,209p,NearMint,Normal,English,0.34,2026-08-26,0.28,0.07,0.34
Collection,1,0,Clinquant Skymage,FDN,Foundations,33,NearMint,Normal,English,0.10,2026-08-26,0.14,0.02,0.10
Collection,1,0,Cloudgoat Ranger,KHC,Kaldheim Commander,21,NearMint,Normal,English,0.16,2026-08-26,0.14,0.02,0.16
Collection,2,0,Cobbled Lancer,INR,Innistrad Remastered,56,NearMint,Normal,English,0.12,2026-08-26,0.10,0.02,0.12
Collection,1,0,Coin of Fate,FIC,Final Fantasy Commander,15,NearMint,Normal,English,0.12,2026-08-26,0.17,0.03,0.12
Collection,1,0,Combustion Man,TLA,Avatar: The Last Airbender,127,NearMint,Normal,English,0.09,2026-08-24,0.15,0.02,0.08
Collection,1,0,Consign to Memory,MH3,Modern Horizons 3,54,NearMint,Normal,English,3.67,2026-08-26,4.16,1.84,3.67
Collection,1,0,Constrictor Sage,TDM,Tarkir: Dragonstorm,39,NearMint,Normal,English,0.06,2026-08-26,0.08,0.02,0.06
Collection,1,0,Council of Echoes,LCI,The Lost Caverns of Ixalan,51,NearMint,Normal,English,0.02,2026-08-26,0.02,0.02,0.02
Collection,1,0,Covert Technician,NEO,Kamigawa: Neon Dynasty,332,NearMint,Normal,English,0.13,2026-08-26,0.14,0.02,0.13
Collection,1,0,Covetous Castaway,INR,Innistrad Remastered,58,NearMint,Normal,English,0.13,2026-08-26,0.16,0.02,0.13
Collection,1,0,Crescent Island Temple,TLA,Avatar: The Last Airbender,129,NearMint,Normal,English,0.13,2026-08-24,0.13,0.02,0.11
Collection,1,0,Dáin Ironfoot,HOB,The Hobbit,91,NearMint,Normal,English,0.04,2026-08-24,0.31,0.02,0.05
Collection,1,0,"Dáin, Lord of the Iron Hills",HOB,The Hobbit,8,NearMint,Normal,English,0.13,2026-08-24,0.25,0.02,0.11
Collection,1,0,"Danitha Capashen, Paragon",FCA,Final Fantasy: Through the Ages,22,NearMint,Normal,English,0.22,2026-08-24,0.27,0.02,0.22
Collection,1,0,"Daretti, Rocketeer Engineer",DFT,Aetherdrift,120,NearMint,Normal,English,0.18,2026-08-24,0.20,0.02,0.22
Collection,1,0,Daring Waverider,BLB,Bloomburrow,44,NearMint,Normal,English,0.14,2026-08-26,0.18,0.02,0.14
Collection,1,0,Dauntless Dismantler,LCI,The Lost Caverns of Ixalan,8,NearMint,Normal,English,0.20,2026-08-26,0.16,0.02,0.20
Collection,2,0,Dauntless Veteran,FDN,Foundations,8,NearMint,Normal,English,0.06,2026-08-26,0.06,0.02,0.06
Collection,1,0,"Dawnsire, Sunstar Dreadnought",EOE,Edge of Eternities,238,NearMint,Normal,English,4.40,2026-08-26,3.73,2.00,4.40
Collection,1,0,Day of Judgment,FDN,Foundations,140,NearMint,Normal,English,1.04,2026-08-26,0.96,0.20,1.04
Collection,1,0,Dazzling Theater // Prop Room,DSK,Duskmourn: House of Horror,3,NearMint,Normal,English,0.65,2026-08-26,0.67,0.04,0.65
Collection,1,0,Deadeye Navigator,INR,Innistrad Remastered,492,NearMint,Foil,English,1.30,2026-08-26,1.33,0.40,1.30
Collection,1,0,Defiant Strike,STA,Strixhaven Mystical Archive,3,NearMint,Normal,English,0.16,2026-08-26,0.17,0.02,0.16
Collection,1,0,"Denethor, Ruling Steward",LTR,The Lord of the Rings: Tales of Middle-earth,198,NearMint,Normal,English,0.11,2026-08-26,0.12,0.02,0.11
Collection,1,0,Depth Defiler,MH3,Modern Horizons 3,58,NearMint,Normal,English,0.07,2026-08-26,0.07,0.02,0.07
Collection,1,0,Descendant of Kiyomaro,SOK,Saviors of Kamigawa,7,NearMint,Normal,English,0.11,2026-08-26,0.07,0.02,0.11
Collection,1,0,Descendant of Storms,TDM,Tarkir: Dragonstorm,8,NearMint,Normal,English,0.08,2026-08-26,0.08,0.02,0.08
Collection,1,0,Destined Confrontation,TLA,Avatar: The Last Airbender,15,NearMint,Normal,English,0.14,2026-08-26,0.11,0.02,0.14
Collection,1,0,Detention Chariot,DFT,Aetherdrift,12,NearMint,Foil,English,0.13,2026-08-26,0.20,0.02,0.13
Collection,1,0,Detention Vortex,STX,Strixhaven: School of Mages,13,NearMint,Normal,English,0.12,2026-08-26,0.07,0.02,0.12
Collection,1,0,Dewdrop Cure,BLB,Bloomburrow,10,NearMint,Normal,English,0.16,2026-08-26,0.15,0.02,0.16
Collection,1,0,"Dina, Soul Steeper",MUL,Multiverse Legends,37,NearMint,Normal,English,0.08,2026-08-26,0.12,0.02,0.08
Collection,1,0,Discerning Financier,WOE,Wilds of Eldraine,10,NearMint,Normal,English,0.16,2026-08-26,0.13,0.02,0.16
Collection,1,0,Dispatch,PLST,The List,NPH-7,NearMint,Normal,English,0.80,2026-08-26,0.95,0.49,0.80
Collection,1,0,Distinguished Conjurer,MH3,Modern Horizons 3,264,NearMint,Foil,English,0.21,2026-08-26,0.20,0.02,0.21
Collection,1,0,Divine Gambit,STA,Strixhaven Mystical Archive,4,NearMint,Normal,English,0.10,2026-08-26,0.08,0.02,0.10
Collection,1,0,Djeru and Hazoret,MOM,March of the Machine,221,NearMint,Normal,English,0.26,2026-08-26,0.28,0.02,0.26
Collection,4,0,"Dori, Bearer of Friends",HOB,The Hobbit,94,NearMint,Normal,English,0.02,2026-08-24,0.10,0.02,0.02
Collection,1,0,Dour Port-Mage,BLB,Bloomburrow,303,NearMint,Foil,English,4.23,2026-08-26,4.37,3.00,4.23
Collection,1,0,"Dragoon's Lance",FIN,Final Fantasy,17,NearMint,Normal,English,0.06,2026-08-26,0.10,0.02,0.06
Collection,1,0,Drake Hatcher,FDN,Foundations,35,NearMint,Normal,English,0.30,2026-08-26,0.35,0.02,0.30
Collection,1,0,"Drakuseth, Maw of Flames",CMM,Commander Masters,218,NearMint,Normal,English,0.68,2026-08-24,0.64,0.10,0.68
Collection,1,0,Dream Strix,STX,Strixhaven: School of Mages,42,NearMint,Normal,English,0.18,2026-08-26,0.17,0.02,0.18
Collection,2,0,Driftgloom Coyote,BLB,Bloomburrow,11,NearMint,Normal,English,0.07,2026-08-26,0.08,0.02,0.07
Collection,1,0,Dual-Sun Technique,EOE,Edge of Eternities,13,NearMint,Normal,English,0.12,2026-08-26,0.13,0.02,0.12
Collection,1,0,Dusk Rose Reliquary,LCI,The Lost Caverns of Ixalan,10,NearMint,Normal,English,0.17,2026-08-26,0.19,0.02,0.17
Collection,1,0,Duskborne Skymarcher,XLN,Ixalan,9,NearMint,Normal,English,0.12,2026-08-26,0.15,0.02,0.12
Collection,1,0,"Dwalin, Weaponmaster",HOB,The Hobbit,154,NearMint,Normal,English,0.02,2026-08-26,0.32,0.04,0.02
Collection,2,0,Eagle of the Great Shelf,HOB,The Hobbit,11,NearMint,Normal,English,0.07,2026-08-26,0.16,0.02,0.07
Collection,1,0,Earth Kingdom Jailer,TLA,Avatar: The Last Airbender,16,NearMint,Normal,English,0.08,2026-08-26,0.13,0.02,0.08
Collection,1,0,Eater of Virtue,NEO,Kamigawa: Neon Dynasty,401,NearMint,Normal,English,0.49,2026-08-26,0.46,0.17,0.49
Collection,1,0,"Echo, Perceptive Prodigy",PW26,Wizards Play Network 2026,11,NearMint,Foil,English,1.68,2026-08-24,4.13,4.50,1.37
Collection,1,0,Eddymurk Crab,BLB,Bloomburrow,48,NearMint,Foil,English,1.78,2026-08-26,2.22,0.18,1.78
Collection,1,0,"Ellie and Alan, Paleontologists",REX,Jurassic World Collection,10,NearMint,Normal,English,6.70,2026-08-26,10.63,5.89,6.70
Collection,1,0,"Elrond, Lord of Rivendell",LTR,The Lord of the Rings: Tales of Middle-earth,799,NearMint,Surge Foil,English,0.43,2026-08-24,0.33,0.08,0.43
Collection,1,0,"Elrond, Lord of Rivendell",LTR,The Lord of the Rings: Tales of Middle-earth,49,NearMint,Normal,English,0.08,2026-08-24,0.10,0.02,0.09
Collection,1,0,"Elspeth's Smite",MOM,March of the Machine,13,NearMint,Normal,English,0.09,2026-08-26,0.28,0.02,0.09
Collection,1,0,"Elspeth's Talent",MOC,March of the Machine Commander,80,NearMint,Normal,English,0.35,2026-08-26,0.22,0.08,0.35
Collection,1,0,"Elspeth's Talent",MOC,March of the Machine Commander,72,NearMint,Normal,English,0.22,2026-08-26,0.33,0.02,0.22
Collection,1,0,"Elusive Otter // Grove's Bounty",WOE,Wilds of Eldraine,225,NearMint,Normal,English,0.32,2026-08-26,0.32,0.02,0.32
Collection,1,0,Elven Raft-Steerer,HOB,The Hobbit,37,NearMint,Normal,English,0.11,2026-08-26,0.19,0.02,0.11
Collection,1,0,"Emil, Vastlands Roamer",SOS,Secrets of Strixhaven,146,NearMint,Normal,English,0.11,2026-08-26,0.13,0.02,0.11
Collection,1,0,Emissary Escort,EOE,Edge of Eternities,56,NearMint,Normal,English,0.15,2026-08-26,0.23,0.02,0.15
Collection,1,0,Emissary of Hope,DST,Darksteel,3,NearMint,Normal,English,0.07,2026-08-26,0.14,0.02,0.07
Collection,1,0,"Emrakul's Messenger",MH3,Modern Horizons 3,61,NearMint,Foil,English,0.39,2026-08-26,0.40,0.02,0.39
Collection,1,0,"Emry, Lurker of the Loch",ELD,Throne of Eldraine,43,NearMint,Normal,English,1.05,2026-08-24,1.07,0.25,1.02
